date,wg_dp,wg_dy,wg_ep,wg_de,wg_bm,wg_ntis,wg_tbl,wg_lty,wg_ltr,wg_infl,wg_svar,wg_dfy,wg_dfr,wg_tms,wg_mkt_lag1
1872-11-01,-2.8144213282659596,-2.818453591793898,-2.4491885671859213,-0.36523276108003866,,,,,,,,,,,0.004040404040403844
1872-12-01,-2.827313621929028,-2.8033603809065353,-2.4673108878976207,-0.36000273403140715,,,,,,,,,,,-0.004024144869215207
1873-01-01,-2.826873405726854,-2.819014819114333,-2.469372356825816,-0.35750104890103795,,,,,,,,,,,0.024242424242424176
1873-02-01,-2.8264402170503704,-2.8186429065903384,-2.4714059625690976,-0.35503425448127246,,,,,,,,,,,0.007889546351084853
1873-03-01,-2.8104795959511772,-2.818276906411209,-2.4578779774000807,-0.3526016185510965,,,,,,,,,,,0.007827788649706457
1873-04-01,-2.7885890635862225,-2.802382385718558,-2.4383866341531073,-0.35020242943311486,,,,,,,,,,,-0.007766990291262155
1873-05-01,-2.7825390530929495,-2.780556891888958,-2.4347030578214213,-0.347835995271528,,,,,,,,,,,-0.013698630136986356
1873-06-01,-2.7606125311930656,-2.774570883443772,-2.4151108878524585,-0.3455016433406072,,,,,,,,,,,0.001984126984126977
1873-07-01,-2.750697300757928,-2.7527073516859524,-2.4074985813757643,-0.34319871938216373,,,,,,,,,,,-0.013861386138613763
1873-08-01,-2.742854123296902,-2.742854123296902,-2.401927536326309,-0.3409265869705932,,,,,,,,,,,-0.002008032128514192
1873-09-01,-2.6555321668187633,-2.735071982854847,-2.31684753991461,-0.3386846269041536,,,,,,,,,,,0.0
1873-10-01,-2.556630830586446,-2.647810120724853,-2.220158593965233,-0.33647223662121295,,,,,,,,,,,-0.07645875251509049
1873-11-01,-2.512511915879889,-2.548967957840877,-2.17822308623962,-0.3342888296402693,,,,,,,,,,,-0.08714596949891051
1873-12-01,-2.594802320611218,-2.50490731649467,-2.262668485588603,-0.33213383502261484,,,,,,,,,,,-0.0357995226730311
1874-01-01,-2.6476780726591658,-2.594802320611218,-2.315544237636551,-0.33213383502261484,,,,,,,,,,,0.09405940594059414
1874-02-01,-2.6772785424354564,-2.6476780726591658,-2.3451447074128415,-0.33213383502261484,,,,,,,,,,,0.05429864253393668
1874-03-01,-2.662587827025453,-2.6772785424354564,-2.330453992002838,-0.33213383502261484,,,,,,,,,,,0.030042918454935563
1874-04-01,-2.6347189280166603,-2.662587827025453,-2.3025850929940455,-0.33213383502261484,,,,,,,,,,,-0.01458333333333317
1874-05-01,-2.608285670948505,-2.6347189280166603,-2.27615183592589,-0.33213383502261484,,,,,,,,,,,-0.02748414376321373
1874-06-01,-2.6038113905535836,-2.608285670948505,-2.271677555530969,-0.33213383502261484,,,,,,,,,,,-0.02608695652173898
