date,ff_Mkt_RF,ff_SMB,ff_HML,ff_RMW,ff_CMA,ff_RF,ff_Mom,wg_dp,wg_dy,wg_ep,wg_de,wg_bm,wg_ntis,wg_tbl,wg_lty,wg_ltr,wg_infl,wg_svar,wg_dfy,wg_dfr,wg_tms,wg_mkt_lag1,jkp_accruals,jkp_debt_issuance,jkp_investment,jkp_low_leverage,jkp_low_risk,jkp_momentum,jkp_profit_growth,jkp_profitability,jkp_quality,jkp_seasonality,jkp_short_term_reversal,jkp_size,jkp_value
1962-11-01,,,,,,,-0.0719,-3.3830684582274926,-3.2863438510303573,-2.843933952222785,-0.5391345060047074,0.5941783459,0.0248105069,0.0283,0.0396,0.0021,0.0,0.0012747828,0.007099999999999995,0.0040999999999999995,0.011300000000000004,0.004442864759196752,-0.0037058252925566,0.0012882584752466,-0.004882978950452,0.020223407908984,-0.0419412590237295,-0.0546284368950557,-0.0036440060731841,0.0030905085593452,0.0118970875762919,0.0008671719287995,-0.0052393688373692,0.0078674780492508,-0.0023588301453258
1962-12-01,,,,,,,0.059000000000000004,-3.388598789825834,-3.3751971852921283,-2.844529107480689,-0.5440696823451452,0.5916270511,0.0199680704,0.0287,0.0395,0.0035,0.0,0.0005438823,0.0068000000000000005,-0.0012000000000000001,0.0108,0.10155697098372252,0.0021214578534367,-0.001189148133021,-0.0003933391593584,-0.0104452788551978,0.0300788649584879,0.0306096817312756,0.0061606988820834,0.0109961045251797,0.0006575910520744,-0.0011129643878922,0.0223645590118648,-0.0221522728836521,-0.0051664052640467
1963-01-01,,,,,,,-0.0213,-3.4334178801761572,-3.3854581867803626,-2.888871373462015,-0.5445465067141417,0.5649849894,0.0171362735,0.0291,0.0398,-0.0001,0.0,0.0006997698,0.006999999999999999,0.006,0.010700000000000001,0.013491808544812134,0.0006911884898199,0.0060881111953357,0.0110312459076011,0.0050652494394378,-0.0015545574892622,-0.0122748550817544,-0.0035415073965485,-0.0101687696040054,-0.0070844814727808,0.0087262956833634,0.0115092276405167,0.0296023630093453,0.0200379182408808
1963-02-01,,,,,,,0.0252,-3.4010574007926455,-3.4303337655820125,-2.8559635683675317,-0.5450938324251139,0.5819531179,0.0132367896,0.0292,0.04,0.0008,0.0,0.0003921329,0.006999999999999999,0.0015,0.0108,0.04912836767036444,0.0082667071850612,-0.0006790464236983,0.0064150180491217,-0.002920462319255,0.01450251793724,0.0088581884511019,0.0028781674276791,-0.0033114132400955,-0.0011478382406938,-0.000694844075015,0.0090509873795378,-0.0019217644653,0.0074225620051346
1963-03-01,,,,,,,0.0158,-3.4327861834730404,-3.397936256014024,-2.887222148993268,-0.5455640344797724,0.5875285706,0.014380171,0.0289,0.0401,0.0009,0.0032894737,0.0003599355,0.006900000000000003,0.0017,0.011199999999999998,-0.028851963746223563,0.0026331749531425,0.0025734298821714,0.0089897709280716,-0.0036153504505148,0.0074006654855687,0.0104311263335959,0.0021627094828983,-0.0018349724521674,-0.001982064110253,0.0028270196013676,0.0089527652756981,-0.0194027277133826,0.0027642004181028
1963-04-01,,,,,,,-0.001,-3.472428737037802,-3.4250487528820877,-2.9229985567589996,-0.5494301802788025,0.5587292741,0.0151994274,0.029,0.0405,-0.0012,0.0,0.0003221604,0.006600000000000002,-0.0039000000000000007,0.0115,0.035464302379841106,0.0146644911721161,0.00897194993502,0.0058085396061777,0.0039913468960467,-0.003422205433296,0.0101950340223357,-0.0013831522280422,0.0065001973727562,0.0090954508445348,0.0031532476426508,-0.0024567993700951,-0.00897238949933,0.0055321748871093
1963-05-01,,,,,,,0.0029,-3.4790215070127397,-3.4647965160813925,-2.9257267323159777,-0.5532947746967619,0.5516121932,0.014648533,0.0293,0.0406,0.0023,0.0,0.0003036557,0.0063,0.0024999999999999996,0.011299999999999998,0.04852035451404535,0.006713855336512,0.0001515753795748,0.0047296329640267,0.0025756405386442,-0.0164757191895196,0.0052302954533818,0.0063504268067194,-0.0063482949649292,-0.0016218902729189,0.002585679696621,0.0007420941044545,0.00765823709697,0.0073267395093521
1963-06-01,,,,,,,0.0116,-3.4509971370329398,-3.4714016403354035,-2.8939821307975744,-0.5570150062353653,0.5672815754,0.0182632029,0.0299,0.0407,0.0019,0.0032786885,0.0002610984,0.006100000000000001,0.0024000000000000002,0.0108,0.014326647564469885,-0.0016585790084862,-0.0011495275518306,-0.0067591178829081,-0.0019712873535851,0.0060863921437603,-0.0014406074241491,0.0056884691995229,0.0031737313231777,0.0040041173257894,-0.0013187738415909,0.00973942003987,0.0015935446600783,-0.0035732225466271
1963-07-01,-0.0039000000000000003,-0.0048,-0.008100000000000001,0.0064,-0.0115,0.0027,0.0101,-3.446032553469167,-3.4494982609092038,-2.8801536363219915,-0.565878917147176,0.5766216585,0.009318732,0.0318,0.0407,0.0031,0.0032679739,0.0005297971,0.0058,-0.0002999999999999999,0.008899999999999998,-0.020197740112994245,-0.0014845697920579,-0.0028297257096647,-0.0014510146616121,0.0008372836954635,0.0111962550889069,0.0050947188349183,0.0071985209582019,0.0045625238256682,0.0010288375825806,0.0008899899499468,0.0022815395090797,-0.0136914245811377,-0.0058748205411013
1963-08-01,0.0508,-0.008,0.017,0.004,-0.0038,0.0025,0.01,-3.492088374953731,-3.4444906030502755,-2.9174949080582575,-0.5745934668954732,0.5498272363,0.0095200761,0.0332,0.0408,0.0021,0.0,0.0003269086,0.005400000000000002,0.0014000000000000002,0.007600000000000003,-0.003459708807842188,0.0004278370940409,0.0030313766960955,-0.0010054513005833,0.0044707446796003,-0.0194399347945153,0.0135891234836217,0.0058710728645815,0.0071518187965638,0.0088625667837712,-0.0037435634479324,0.0022123122220705,-0.0258001345065006,-0.0081521379769175
